,11,21,22,23,31-33,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81,93
11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
